"","KCL code","name","ancestry_details","ancestry.x","sex.x","category_name","year.x","pmid","trait_detail","h2.observed","h2.se","h2.z","lambda.GC","mean.chi.2"
"324","INFL24","CXCL11","KORA cohort","EUR","both","blood",2017,28240269,"CXCL11",NA,NA,NA,NA,NA
"325","INFL25","CXCL5","KORA cohort","EUR","both","blood",2017,28240269,"CXCL5",NA,NA,NA,NA,NA
"326","INFL26","CXCL6","KORA cohort","EUR","both","blood",2017,28240269,"CXCL6",NA,NA,NA,NA,NA
"327","INFL27","FGF19","KORA cohort","EUR","both","blood",2017,28240269,"FGF-19",NA,NA,NA,NA,NA
"328","INFL28","Flt3L","KORA cohort","EUR","both","blood",2017,28240269,"Flt3L",NA,NA,NA,NA,NA
"329","INFL29","IL12RB1","KORA cohort","EUR","both","blood",2017,28240269,"IL-12B",NA,NA,NA,NA,NA
"330","INFL30","IL18R1","KORA cohort","EUR","both","blood",2017,28240269,"IL-18R1",NA,NA,NA,NA,NA
"331","INFL31","LIF-R","KORA cohort","EUR","both","blood",2017,28240269,"LIF-R",NA,NA,NA,NA,NA
"332","INFL32","MMP10","","EUR","both","blood",2017,28240269,"MMP-10",NA,NA,NA,NA,NA
"333","INFL33","OSM","KORA cohort","EUR","both","blood",2017,28240269,"OSM",NA,NA,NA,NA,NA
"334","INFL34","TNFRSF9","KORA cohort","EUR","both","blood",2017,28240269,"TNFRSF9",NA,NA,NA,NA,NA
"335","INFL35","TNFSF14","KORA cohort","EUR","both","blood",2017,28240269,"TNFSF14",NA,NA,NA,NA,NA
"336","INFL36","TRANCE","KORA cohort","EUR","both","blood",2017,28240269,"TRANCE",NA,NA,NA,NA,NA
"337","INFL37","TWEAK","KORA cohort","EUR","both","blood",2017,28240269,"TWEAK",NA,NA,NA,NA,NA
"338","INFL38","uPA","KORA cohort","EUR","both","blood",2017,28240269,"uPA",NA,NA,NA,NA,NA
"339","INFL39","VEGFA","KORA cohort","EUR","both","blood",2017,28240269,"VEGFA",NA,NA,NA,NA,NA
"340","INFL40","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"341","INFL41","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"342","INFL42","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"343","INFL43","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"344","INFL44","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"345","INFL45","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"346","INFL46","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"347","INFL47","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"348","INFL48","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"349","INFL49","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"350","INFL50","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"351","INFL51","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"352","INFL52","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"353","INFL53","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"354","INFL54","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"355","INFL55","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"356","INFL56","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"357","INFL57","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"358","INFL58","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"359","INFL59","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"360","INFL60","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"361","INFL61","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"362","INFL62","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"363","INFL63","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"364","INFL64","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"365","INFL65","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"366","INFL66","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"367","INFL67","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"368","INFL68","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"369","INFL69","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"370","INFL70","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"371","INSO02","Insomnia (2019)","","EUR","both","mental and behavioural",2019,30804565,"Insomnia (2019)",NA,NA,21.95238095,NA,NA
"372","INTE01","Childhood Intelligence","European","EUR","both","mental and behavioural",2014,23358156,"Childhood Intelligence",0.2764,0.0454,6.08810573,1.0649,1.075
"373","INTE02","Intelligence","European","EUR","both","mental and behavioural",2017,28530673,"Intelligence",0.1879,0.0102,18.4215686,1.2597,1.2991
"374","INTE03","Intelligence (Cognitive ability)","European","EUR","both","mental and behavioural",2018,29942086,"Intelligence (Cognitive ability)",0.1834,0.0062,29.5806452,1.753,2.074
"375","INTZ01","Internalizing","European","EUR","both","mental and behavioural",2014,24839885,"Internalizing",0.0955,0.2235,0.42729307,1.0135,1.0188
"376","IRON01","Log10 Ferritin (iron metabolism)","European","EUR","both","metabolism: other",2014,25352340,"Log10 Ferritin",0.0397,0.0121,3.28099174,1.0618,1.0703
"377","IRON02","Transferrin (iron metabolism)","European","EUR","both","metabolism: other",2014,25352340,"Transferrin",0.0624,0.0324,1.92592593,1.0864,1.1241
"378","IRON03","Transferrin saturation (iron metabolism)","European","EUR","both","metabolism: other",2014,25352340,"Transferrin saturation",0.0211,0.0114,1.85087719,1.0436,1.0483
"379","KETO01","Metabolites: acetate (ketone bodies)","European","EUR","both","metabolism: other",2016,27005778,"Metabolites: acetate",0.0571,0.0188,3.03723404,1.0255,1.0282
"380","KETO02","Metabolites: Acetoacetate (ketone bodies)","Eureopan","EUR","both","metabolism: other",2016,27005778,"Metabolites: Acetoacetate",0.0723,0.0276,2.61956522,1.0016,1.0084
"381","KETO03","beta-hydroxybutyrate (ketone bodies)","European","EUR","both","metabolism: other",2016,27005778,"beta-hydroxybutyrate",0.0332,0.0201,1.65174129,1.0105,1.0114
"382","LDLP01","Low Density Lipoprotein (LDL)","","MIX","both","blood",2013,24097068,NA,0.202,0.0328,6.158536585,NA,NA
"383","LEAN01","Total body lean mass childhood","Mostly European","MIX","both","anthropometric",2017,28743860,"Total body lean mass (TB-LM) / fat free mass (childhood)",0.3964,0.0477,8.31027254,1.0405,1.0568
"384","LEAN02","Total body lean mass adulthood","European","EUR","both","anthropometric",2017,28724990,"Whole body lean mass (adulthood)",0.1299,0.0151,8.60264901,1.0864,1.0993
"385","LEAN03","Appendicular (arms and legs) lean mass","European","EUR","both","anthropometric",2017,28724990,"Appendicular (arms and legs) lean body mass",0.18,0.0202,8.91089109,1.0833,1.0943
"386","LEAN04","Lean mass (fat free mass) anorexia-free","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass anorexia-free both",0.2825,0.0117,24.1452992,1.6032,1.9763
"387","LEAN04B","Lean mass (fat free mass) anorexia-free meta-analysis of males and females","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass anorexia-free meta",0.2741,0.0111,24.6936937,1.5845,1.9414
"388","LEAN04F","Lean mass (fat free mass) anorexia-free female","European","EUR","female","anthropometric",NA,NA,"Fat free mass / lean mass anorexia-free female",0.2929,0.0152,19.2697368,1.3135,1.4276
"389","LEAN04M","Lean mass (fat free mass) anorexia-free male","European","EUR","male","anthropometric",NA,NA,"Fat free mass / lean mass anorexia-free male",0.323,0.0168,19.2261905,1.3929,1.6072
"390","LEAN05","Lean mass (fat free mass) mass healthy","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass healthy both",0.2816,0.0116,24.2758621,1.607,1.9846
"391","LEAN05B","Lean mass (fat free mass) healthy meta","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass healthy meta",0.2734,0.011,24.8545455,1.592,1.9503
"392","LEAN05F","Lean mass (fat free mass) healthy female","European","EUR","female","anthropometric",NA,NA,"Fat free mass / lean mass healthy female",0.2939,0.0152,19.3355263,1.3169,1.4371
"393","LEAN05M","Lean mass (fat free mass) healthy male","European","EUR","male","anthropometric",NA,NA,"Fat free mass / lean mass healthy male",0.3233,0.0168,19.2440476,1.3929,1.6071
"394","LEAN06","Lean mass (fat free mass)","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass complete both",0.2661,0.0094,28.3085106,2.1851,3.1585
"395","LEAN06B","Lean mass (fat free mass) meta-analysis of males and females","European","EUR","both","anthropometric",NA,NA,"Fat free mass / lean mass complete meta",0.2617,0.009,29.0777778,2.1895,3.1125
"396","LEAN06F","Lean mass (fat free mass) female","European","EUR","female","anthropometric",NA,NA,"Fat free mass / lean mass complete female",0.2789,0.0101,27.6138614,1.7024,2.1076
"397","LEAN06M","Lean mass (fat free mass) male","European","EUR","male","anthropometric",NA,NA,"Fat free mass / lean mass complete male",0.3077,0.0123,25.0162602,1.6985,2.1938
"398","LEAN07B","Fat-free mass/lean mass healthy meta-analysis (not alcohol/smoking-adjust)","","EUR","both","anthropometric",NA,NA,NA,0.29,0.0137,21.16788321,NA,NA
"399","LIPI01","Total lipids in chylomicrons and largest VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in chylomicrons and largest VLDL particles",0.1223,0.0272,4.49632353,1.0225,1.0345
"400","LIPI02","Total lipids in IDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in IDL",0.1189,0.0317,3.75078864,1.0225,1.0472
"401","LIPI03","Total lipids in large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in large HDL",0.1685,0.036,4.68055556,1.0225,1.0498
"402","LIPI04","Total lipids in large LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in large LDL",0.1264,0.0315,4.01269841,1.0225,1.0437
"403","LIPI05","Total lipids in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in large VLDL",0.1332,0.0283,4.70671378,1.0225,1.0361
"404","LIPI06","Total lipids in medium HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in medium HDL",0.0657,0.0259,2.53667954,1.0135,1.0198
"405","LIPI07","Total lipids in medium LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in medium LDL",0.1255,0.031,4.0483871,1.0195,1.0415
"406","LIPI08","Total lipids in small HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in small HDL",0.0596,0.0267,2.23220974,1.0225,1.0224
"407","LIPI09","Total lipids in small LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in small LDL",0.1198,0.0319,3.75548589,1.0165,1.0416
"408","LIPI10","Total lipids in small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in small VLDL",0.1403,0.0338,4.15088757,1.0255,1.0464
"409","LIPI11","Total lipids in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in very large HDL",0.0945,0.035,2.7,1.0105,1.0373
"410","LIPI12","Total lipids in very large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in very large VLDL",0.134,0.0279,4.80286738,1.0255,1.029
"411","LIPI13","Total lipids in very small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in very small VLDL",0.1225,0.0328,3.7347561,1.0255,1.0497
"412","LIPI14","Total lipids in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total lipids in medium VLDL",0.1307,0.0312,4.18910256,1.0195,1.038
"413","LIPO01","Concentration of IDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of IDL particles",0.1172,0.0317,3.69716088,1.0225,1.0469
"414","LIPO02","Concentration of large HDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of large HDL particles",0.1712,0.0364,4.7032967,1.0225,1.0493
"415","LIPO03","Concentration of large LDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of large LDL particles",0.124,0.0315,3.93650794,1.0225,1.0451
"416","LIPO04","Concentration of large VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of large VLDL particles",0.1219,0.0311,3.91961415,1.0135,1.0228
"417","LIPO05","Concentration of medium HDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of medium HDL particles",0.0684,0.0258,2.65116279,1.0135,1.0195
"418","LIPO06","Concentration of medium LDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of medium LDL particles",0.121,0.0313,3.8658147,1.0195,1.0426
"419","LIPO07","Concentration of medium VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of medium VLDL particles",0.1396,0.0325,4.29538462,1.0165,1.0366
"420","LIPO08","Concentration of chylomicrons and largest VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of chylomicrons and largest VLDL particles",0.1146,0.025,4.584,1.0285,1.0303
"421","LIPO09","Concentration of small HDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of small HDL particles",0.0501,0.0269,1.86245353,1.0225,1.0189
"422","LIPO10","Concentration of small LDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of small LDL particles",0.1213,0.0328,3.69817073,1.0195,1.0436
"423","LIPO11","Concentration of small VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of small VLDL particles",0.1442,0.0334,4.31736527,1.0255,1.047
"424","LIPO12","Concentration of very large HDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of very large HDL particles",0.0967,0.0345,2.80289855,1.0046,1.0262
"425","LIPO13","Concentration of very large VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of very large VLDL particles",0.1181,0.0284,4.1584507,1.0225,1.0295
"426","LIPO14","Concentration of very small VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Concentration of very small VLDL particles",0.1305,0.0335,3.89552239,1.0255,1.0479
"427","LIPO15","Mean diameter for LDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Mean diameter for LDL particles",0.0622,0.0274,2.27007299,1.0046,1.0188
"428","LIPO16","Mean diameter for VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Mean diameter for VLDL particles",0.137,0.0322,4.25465839,1.0225,1.0408
"429","LONE01","Loneliness: Linear","European","EUR","both","mental and behavioural",2016,27629369,"Loneliness: Linear",0.1063,0.0578,1.83910035,1.0165,1.0214
"430","LONE02","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"431","LONE03","Loneliness: Case-control","European","EUR","both","mental and behavioural",2016,27629369,"Loneliness: Case-control",0.1236,0.0576,2.14583333,1.0195,1.0194
"432","LONG01","Parents' age at death","European","EUR","both","anthropometric",2017,27015805,"Parents' age at death",0.0192,0.0018,10.6666667,1.2005,1.2141
"433","LONG02","Mother's age at death","European","EUR","both","anthropometric",2017,27015805,"Mother's age at death",0.0141,0.0016,8.8125,1.1459,1.1672
"434","LONG03","Father's age at death","European","EUR","both","anthropometric",2017,27015805,"Father's age at death",0.0185,0.0016,11.5625,1.2005,1.1944
"435","LONG04","Parents attained age","European","EUR","both","anthropometric",2017,27015805,"Parents attained age",0.0322,0.0022,14.6363636,1.3101,1.3376
"436","LONG05","Mother attained age","European","EUR","both","anthropometric",2017,27015805,"Mother attained age",0.0179,0.0016,11.1875,1.2005,1.224
"437","LONG06","Father attained age","European","EUR","both","anthropometric",2017,27015805,"Father attained age",0.0297,0.0021,14.1428571,1.3101,1.3082
"438","LONG07","Longest 10% survival","European","EUR","both","anthropometric",2017,27015805,"Longest 10% survival",0.0146,0.0016,9.125,1.1459,1.1698
"439","LUNG01","Low FEV1 versus average FEV1 never smokers","European","EUR","both","respiratory",2017,28166213,"Low FEV1 versus average FEV1 never smokers",0.1563,0.0236,6.62288136,1.0527,1.0584
"440","LUNG02","Low FEV1 versus high FEV1 never smokers","European","EUR","both","respiratory",2017,28166213,"Low FEV1 versus high FEV1 never smokers",0.6165,0.0426,14.471831,1.1683,1.1967
"441","LUNG03","High FEV1 versus average FEV1 never smokers","European","EUR","both","respiratory",2017,28166213,"High FEV1 versus average FEV1 never smokers",0.2094,0.0326,6.42331288,1.071,1.0768
"442","LUNG04","Low FEV1 versus average FEV1 heavy smokers","European","EUR","both","respiratory",2017,28166213,"Low FEV1 versus average FEV1 heavy smokers",0.0925,0.0238,3.88655462,1.0285,1.0333
"443","LUNG05","Low FEV1 versus high FEV1 heavy smokers","European","EUR","both","respiratory",2017,28166213,"Low FEV1 versus high FEV1 heavy smokers",0.4632,0.043,10.772093,1.1082,1.1309
"444","LUNG06","High FEV1 versus average FEV1 heavy smokers","European","EUR","both","respiratory",2017,28166213,"High FEV1 versus average FEV1 heavy smokers",0.1795,0.0374,4.79946524,1.0466,1.0527
"445","LUPU01","Systemic Lupus Erythematosus","European","EUR","both","autoimmune",2015,26502338,"Systemic Lupus Erythematosus",0.2535,0.0443,5.72234763,1.1715,1.2194
"446","MCLI01","MCL (medial collateral ligament) injury","EUR+LAT+EAS","MIX","both","musculoskeletal and connective",2017,28482362,"MCL (medial collateral ligament) injury",5e-04,0.0042,0.11904762,0.9986,1.0029
"447","MEMO01","Memory","European","EUR","both","mental and behavioural",2016,27046643,"Memory",0.0431,0.0048,8.97916667,1.0895,1.0926
"448","MENA01F","Age at Menarche (marker of puberty in females)","European","EUR","female","anthropometric",2014,25231870,"Age at Menarche (marker of puberty in females)",0.1577,0.0074,21.3108108,1.2531,1.3973
"449","MENA03F","Age at menarche (UKB only)","","","","",NA,31768069,"",0.1944,0.0083,23.42168675,NA,NA
"450","MENO01F","Age at Menopause","European","EUR","female","anthropometric",2015,26414677,"Age at Menopause",0.1335,0.0136,9.81617647,1.0957,1.175
"451","MIGR01","Migraine","European","EUR","both","nervous system",2016,27322543,"Migraine",0.0368,0.0031,11.8709677,1.1428,1.1737
"452","NEUR01","Neuroticism.","European","EUR","both","mental and behavioural",2016,27089181,"Neuroticism. UKB: 12-item version of the Eysenck Personality Inventory Neuroticism; GPC: item response theory",0.0877,0.0067,13.0895522,1.2365,1.3067
"453","NEUR02B","Neuroticism 300K meta-analysis.","European","EUR","both","mental and behavioural",NA,NA,"Neuroticism 300K complete meta. UKB: 12-item version of the Eysenck Personality Inventory Neuroticism; GPC: item response theory",0.1098,0.0051,21.5294118,1.4745,1.6672
"454","NEUR03B","Neuroticism 150K healthy meta-analysis.","European","EUR","both","mental and behavioural",NA,NA,"Neuroticism 150K healthy meta. UKB: 12-item version of the Eysenck Personality Inventory Neuroticism; GPC: item response theory",0.0995,0.0073,13.630137,1.2531,1.3273
"455","NPAT01","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"456","NPAT02","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"457","NPAT03","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"458","NPAT04","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"459","NPAT05","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"460","NPAT06","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"461","NPAT07","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"462","NPAT08","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"463","NPAT09","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"464","NPAT10","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"465","NPAT11","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"466","OBES01","Obesity class 1","European","EUR","both","anthropometric",2013,23563607,"Obesity class 1",0.1672,0.0083,20.1445783,1.0466,1.1217
"467","OBES02","Obesity class 2","European","EUR","both","anthropometric",2013,23563607,"Obesity class 2",0.1593,0.0102,15.6176471,1.0466,1.1056
"468","OBES03","Obesity class 3","European","EUR","both","anthropometric",2013,23563607,"Obesity class 3",0.117,0.0128,9.140625,1.0466,1.0421
"469","OBES04","Childhood obesity","European","EUR","both","anthropometric",2012,22484627,"Childhood obesity",0.4067,0.0423,9.61465721,1.0105,1.0319
"470","OBES05","Severe early onset obesity vs controls","","EUR","both","anthropometric",2019,30677029,"Childhood obesity (2019)",0.3228,0.0423,7.63120567,1.0649,1.0762
"471","OBES07","","","","","",NA,NA,"",0.3214,0.0309,10.4012945,NA,NA
"472","OCDI01","Obsessive compulsive disorder","European","EUR","both","mental and behavioural",2017,28761083,"Obsessive compulsive disorder",0.3375,0.0475,7.10526316,1.0496,1.0533
"473","OPEN01","Openness to Experience (NEO five factor inventory)","European","EUR","both","mental and behavioural",2012,21173776,"Openness to Experience (NEO five factor inventory)",0.1068,0.0267,4,1.0315,1.0293
"474","OSTE01","Osteoporosis: femoral neck bone mineral density","European","EUR","both","musculoskeletal and connective",2015,26367794,"Osteoporosis: femoral neck bone mineral density",NA,NA,7.117166213,NA,1.0988
"475","OSTE02","Osteoporosis: forearm bone mineral density","European","EUR","both","musculoskeletal and connective",2015,26367794,"Osteoporosis: forearm bone mineral density",NA,NA,0.564228642,NA,1.0436
"476","OSTE03","Osteoporosis: lumbar spine bone mineral density","European","EUR","both","musculoskeletal and connective",2015,26367794,"Osteoporosis: lumbar spine bone mineral density",NA,NA,7.046189376,NA,1.0864
"477","OSTE04","Osteoporosis: heel bone mineral density","European","EUR","both","musculoskeletal and connective",2017,28869591,"Osteoporosis: heel bone mineral density",0.3498,0.0309,11.3203884,1.4926,2.1383
"478","OSTE05","Total body less head bone mineral density (TBLH-BMD) children","Mostly European","EUR","both","musculoskeletal and connective",2017,28743860,"Total body less head bone mineral density (TBLH-BMD) children",0.4265,0.0447,9.54138703,1.0466,1.0639
"479","OSTE11","Lifecourse bone mineral density: meta-analysis","Mixed","MIX","both","anthropometric",2017,29304378,"Lifecourse TB-BMD: meta-analysis",NA,NA,12.32876712,NA,NA
"480","OVER01","Overweight","European","EUR","both","anthropometric",2013,23563607,"Overweight",0.0862,0.0049,17.5918367,1.0466,1.0861
"481","PALL01","Subcortical brain regions: Pallidum","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Pallidum",0.1607,0.0403,3.98759305,1.0075,1.0203
"482","PHLI01","Phospholipids in very large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in very large HDL",0.1312,0.0403,3.25558313,1.0165,1.0424
"483","PHLI02","Phosphatidylcholine","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phosphatidylcholine",0.0097,0.0404,0.24009901,0.9957,1.0131
"484","PHLI03","Phospholipids in chylomicrons and largest VLDL particles","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in chylomicrons and largest VLDL particles",0.0935,0.0252,3.71031746,1.0195,1.0263
"485","PHLI04","Phospholipids in IDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in IDL",0.1,0.0292,3.42465753,1.0225,1.0472
"486","PHLI05","Phospholipids in large HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in large HDL",0.1596,0.0341,4.68035191,1.0195,1.0473
"487","PHLI06","Phospholipids in large LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in large LDL",0.104,0.0265,3.9245283,1.0225,1.0447
"488","PHLI07","Phospholipids in large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in large VLDL",0.1076,0.0276,3.89855073,1.0255,1.0371
"489","PHLI08","Phospholipids in medium HDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in medium HDL",0.0718,0.0236,3.04237288,1.0165,1.0242
"490","PHLI09","Phospholipids in medium LDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in medium LDL",0.106,0.0275,3.85454546,1.0225,1.0407
"491","PHLI10","Phospholipids in medium VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in medium VLDL",0.1027,0.0294,3.49319728,1.0195,1.0426
"492","PHLI11","Phospholipids in small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in small VLDL",0.1155,0.0318,3.63207547,1.0285,1.0479
"493","PHLI12","Phospholipids in very small VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in very small VLDL",0.1147,0.0324,3.54012346,1.0225,1.0471
"494","PHLI13","Phospholipids in very large VLDL","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Phospholipids in very large VLDL",0.1005,0.0258,3.89534884,1.0225,1.0296
"495","PHLI14","Sphingomyelins","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Sphingomyelins",0.0077,0.041,0.18780488,1.0075,1.0147
"496","PHLI15","Total phosphoglycerides","European (+ Finnish)","EUR","both","metabolism: lipids",2016,27005778,"Total phosphoglycerides",NA,NA,NA,NA,NA
"497","PHYS01","Physical activity (objectively-measured)","European","EUR","both","mental and behavioural",NA,NA,"Physical activity (objectively-measured)",0.143,0.0096,14.8958333,1.1619,1.1799
"498","PRCA01","Prostate Cancer","","EUR","both","genitourinary",2017,29892016,NA,0.1635,0.0238,6.869747899,NA,NA
"499","PRSC01","Primary sclerosing cholangitis","European","EUR","both","autoimmune",2016,27992413,"Primary sclerosing cholangitis",0.1497,0.0311,4.81350482,1.0557,1.0873
"500","PSOR01","Psoriasis","","EUR","both","autoimmune",2017,28537254,"Psoriasis",NA,NA,NA,NA,NA
"501","PSPA02","","","","","",NA,NA,"",NA,NA,NA,NA,NA
"502","PTSD01","PTSD Mixed Ancestry","Mixed","MIX","both","mental and behavioural",2017,28439101,"PTSD Mixed Ancestry",0.0224,0.0219,1.02283105,1.0285,1.0215
"503","PTSD03","PTSD European","European","EUR","both","mental and behavioural",2017,28439101,"PTSD European",0.1197,0.053,2.25849057,1.0165,1.0127
"504","PUTA01","Subcortical brain regions: Putamen","European","EUR","both","nervous system",2015,25607358,"Subcortical brain regions: Putamen",0.2934,0.0439,6.6833713,1.0135,1.0275
"505","REAC01","Reaction time","European","EUR","both","mental and behavioural",2016,27046643,"Reaction time",0.0732,0.0055,13.3090909,1.1428,1.168
"506","REAS01","Verbal-numerical reasoning","European","EUR","both","mental and behavioural",2016,27046643,"Verbal-numerical reasoning",0.1978,0.0174,11.3678161,1.1491,1.1664
"507","REPR01","Reproductive behavior: Age First Birth","European","EUR","both","mental and behavioural",2016,27798627,"Reproductive behavior: Age First Birth",0.0546,0.003,18.2,1.1876,1.2229
"508","REPR01F","Reproductive behavior: Age First Birth Female","European","EUR","female","mental and behavioural",2016,27798627,"Reproductive behavior: Age First Birth Female",0.0521,0.0036,14.4722222,1.1364,1.1632
"509","REPR01M","Reproductive behavior: Age First Birth Male","European","EUR","male","mental and behavioural",2016,27798627,"Reproductive behavior: Age First Birth Male",0.1133,0.01,11.33,1.0466,1.0477
"510","REPR02","Reproductive behavior: Number of Children Ever Born","European","EUR","both","mental and behavioural",2016,27798627,"Reproductive behavior: Number of Children Ever Born",0.0238,0.0017,14,1.1082,1.1278
"511","REPR02F","Reproductive behavior: Number of Children Ever Born Female","European","EUR","female","mental and behavioural",2016,27798627,"Reproductive behavior: Number of Children Ever Born Female",0.0219,0.0022,9.95454546,1.0557,1.0707
"512","REPR02M","Reproductive behavior: Number of Children Ever Born Male","European","EUR","male","mental and behavioural",2016,27798627,"Reproductive behavior: Number of Children Ever Born Male",0.0352,0.0049,7.18367347,1.0405,1.0402
